Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre
Fundación Ama Amoedo,,,https://www.recursosculturales.com/becas-fundacion-ama-amoedo/,,,,No,,,,"Becas Fundación Ama Amoedo para artistas, compromiso social, organizaciones y publicaciones"
Ayuda Ibermúsicas 2024,Artistas,,https://www.recursosculturales.com/ibermusicas-ayudas-programacion-iberoamericana/,,,"October 1, 2024",Yes,,,,Ibermúsicas abre convocatoria de ayuda a la programación musical 2024
"Encuentro Nacional Registro, Documentación y Conservación Arte Contemporáneo",Documentación,,https://www.recursosculturales.com/encuentro-conservacion-de-arte/,,,"July 15, 2024",Yes,,,,"Encuentro Nacional sobre Registro, Documentación y Conservación de Arte Contemporáneo"
Anba-Selú producción artistas mujeres,"Anba-Selú, Becas para artistas mujeres, Producción de obra para artistas",,https://www.recursosculturales.com/becas-anba-selu/,,,"October 25, 2024",Yes,,,,Becas Anba-Selú de producción de obra para artistas mujeres
"Jiser 2024-2025 Sousse, Argel, Barcelona",Residencia para artistas,,https://www.recursosculturales.com/residencias-jiser/,,,"July 15, 2024",Yes,,,,"Residencias Jiser de creación 2024-2025 en  Sousse, Argel y Barcelona"
Ayuda Ibermúsicas,Residencia para artistas,,https://www.recursosculturales.com/ayuda-ibermusicas-instituciones-residencias/,,,"October 1, 2024",Yes,,,,Ibermúsicas abre convocatoria de ayuda a instituciones para residencias
Becas Semillero -> Semillero,Becas para artistas,Argentina,https://fundacionwilliams.org.ar/becas-semillero-2024-para-artistas-curadores-e-investigadores-emergentes/,,,"July 7, 2024",Yes,,,,Becas Semillero
Convocatoria Conservación Arte Contemporáneo,"Conservación de Arte Contemporáneo, Encuentro Nacional",,https://hipermedula.org/2024/06/convocatoria-encuentro-nacional-conservacion-de-arte-contemporaneo/,,,"July 15, 2024",Yes,,,,Convocatoria Conservación de Arte Contemporáneo
Subvenciones Cultura Alicante 2024,Convocatoria,,https://hipermedula.org/2024/06/convocatoria-de-subvenciones-2024-concejalia-de-cultura-de-alicante/,,,"July 1, 2024",Yes,,,,Convocatoria de Subvenciones 2024 Concejalía de Cultura de Alicante
Convocatoria Fragmentos,Convocatoria,,https://hipermedula.org/2024/06/apertura-convocatoria-fragmentos/,,,"October 1, 2024",Yes,,,,Apertura Convocatoria Fragmentos
Convocatoria Investigación Situada 24-25,Becas de investigación,,https://hipermedula.org/2024/06/convocatoria-de-proyectos-de-investigacion-situada-24-25/,,,"June 30, 2024",Yes,,,,Convocatoria de proyectos de investigacion situada 24 25
Premio Art for Change 2024,"Premio Art for Change 2024, Saatchi Gallery",,https://hipermedula.org/2024/06/premio-art-for-change-2024-saatchi-gallery/,,,"July 17, 2024",Yes,,,,"Premio Art for Change 2024, Saatchi Gallery"
"Convocatoria Magnum, Textile Transformations 2024",Arte Textil,,https://hipermedula.org/2024/06/convocatoria-magnum-textile-transformations-2024/,,,"June 29, 2024",Yes,,,,"Convocatoria Magnum, Textile Transformations 2024"
Concurso Videocreación Posthuman,Videoarte,,https://hipermedula.org/2024/06/concurso-de-videocreacion-posthumanamente-hablando/,,,"July 15, 2024",Yes,,,,"Concurso de Videocreación, Posthumanamente hablando"
Fundación Ama Amoedo 2° ed.,,,https://hipermedula.org/2024/06/becas-fundacion-ama-amoedo-2-edicion/,,,,No,,,,Becas Fundación Ama Amoedo 2° edición
Cobertizo,Beca Cobertizo Residencia de artistas,,https://hipermedula.org/2024/06/beca-cobertizo-residencia-de-artistas/,,,"June 28, 2024",Yes,,,,Beca Cobertizo Residencia de artistas
Premio Escultura Fund. Bosch Aymerich,"Fundació Bosch Aymerich, Premio de Escultura",,https://hipermedula.org/2024/05/premio-de-escultura-fundacio-bosch-aymerich/,,,"July 22, 2024",Yes,,,,"Premio de Escultura, Fundació Bosch Aymerich"
Moving Narratives,Cine,,https://hipermedula.org/2024/05/convocatoria-moving-narratives-prince-claus-fund/,,,"July 16, 2024",Yes,,,,"Convocatoria Moving Narratives, Prince Claus Fund"
Convocatoria SEMILLERO 2024,"Becas SEMILLERO 2024, Convocatoria",,https://hipermedula.org/2024/06/convocatoria-abierta-becas-semillero-2024/,,,"July 15, 2024",Yes,,,,Convocatoria abierta Becas SEMILLERO 2024
Convocatoria Jiser 24-25,Convocatoria,,https://hipermedula.org/2024/06/convocatoria-residencias-jiser-2024-2025/,,,"July 15, 2024",Yes,,,,Convocatoria Residencias Jiser 2024-2025
Máster Artes SUR-UC3M,Maestría,,https://hipermedula.org/2024/06/matricula-abierta-master-en-artes-sur-uc3m/,,,"June 30, 2024",Yes,,,,"Matrícula abierta, Máster en Artes SUR-UC3M"
Lab Proceso Creativo Ananké Asseff,Residencia para artistas,,https://hipermedula.org/2024/06/laboratorio-de-proceso-creativo-de-ananke-asseff/,,,,No,,,,Laboratorio De Proceso Creativo de Ananké Asseff
Preservación Patrimonio Audiovisual 2024,Patrimonio,,https://hipermedula.org/2024/06/apoyo-a-la-preservacion-del-patrimonio-audiovisual-2024/,,,"July 8, 2024",Yes,,,,Apoyo a la Preservación del Patrimonio Audiovisual 2024
Taller Entre Cyborgs y Robots... Arte,"Artistas, Residencia para artistas, Talleres para artistas",,https://hipermedula.org/2024/06/taller-entre-cyborgs-y-robots-arte/,,,"July 10, 2024",Yes,,,,Taller Entre cyborgs y robots… Arte
Pasantías 2024-2025,"Hipermedula, Pasantías 2024-2025, Programa de Pasantías",,https://hipermedula.org/2024/06/programa-de-pasantias-2024-2025/,,,"June 30, 2024",Yes,,,,Programa de Pasantías 2024-2025
Farsa Contemp.,,,https://hipermedula.org/2024/06/farsa-contemporanea-convocatoria-abierta-residencia-de-arte/,,,,No,,,,"Farsa Contemporánea, Residencia de Arte"
Premio Territórios Tomie Ohtake,Artistas,,https://amlatina.contemporaryand.com/es/opportunities/premio-territorios-tomie-ohtake/,,,"July 26, 2024",Yes,,,,Prêmio Territórios Tomie Ohtake
Bolsa ZUM/IMS,"Arte Contemporáneo, Becas para artistas, Producción de obra para artistas",,https://amlatina.contemporaryand.com/es/opportunities/bolsa-zum-ims/,,,"July 21, 2024",Yes,,,,"Bolsa ZUM/IMS, produção artística contemporânea"
,,,https://amlatina.contemporaryand.com/es/opportunities/mexico-que-estamos-traduciendo/,,,,No,,,,México: ¿Qué estamos traduciendo?
,,,https://amlatina.contemporaryand.com/es/opportunities/23912/,,,,No,,,,R.A.R.O. Bogotá
,,,https://amlatina.contemporaryand.com/es/opportunities/2024-cci-artist-fellowship/,,,,No,,,,2024 CCI Artist Fellowship
Taller Escritura CCI x C&,,,https://amlatina.contemporaryand.com/es/opportunities/cci-x-c-critical-writing-workshop-online/,,,,No,,,,Taller de escritura crítica de CCI x C& (EN LÍNEA)
Ancestralidades 2024 - Medio Ambiente y Raza,,,https://amlatina.contemporaryand.com/es/opportunities/programa-ancestralidades-de-valorizacao-a-pesquisa-2024-meio-ambiente-e-raca/,,,,No,,,,Programa Ancestralidades de valorização à pesquisa 2024 – meio ambiente e raça
CIMAM 2024,,,https://amlatina.contemporaryand.com/es/opportunities/cimam-2024-call-for-travel-grant-applications/,,,,No,,,,CIMAM 2024 Call for Travel Grant Applications
,,,https://amlatina.contemporaryand.com/es/opportunities/science_technology_society/,,,,No,,,,science_technology_society
,,,https://amlatina.contemporaryand.com/es/opportunities/chamada-programa-helio-oiticica-2a-edicao/,,,,No,,,,Chamada Programa Hélio Oiticica - 2ª edição
,,,https://amlatina.contemporaryand.com/es/opportunities/7a-edicao-do-edital-de-concurso-folhetaria-atelie-aberto-do-ccsp/,,,,No,,,,7ª Edição do Edital de Concurso Folhetaria Ateliê Aberto do CCSP
,,,https://amlatina.contemporaryand.com/es/opportunities/21a-edicao-do-territorio-da-arte-de-araraquara/,,,,No,,,,21ª edição do Território da Arte de Araraquara
,,,https://amlatina.contemporaryand.com/es/opportunities/funk-arte-e-resistencia/,,,,No,,,,"Funk, Arte e Resistência"
,,,https://amlatina.contemporaryand.com/es/opportunities/diaspora-africana-no-brasil-2024/,,,,No,,,,Diáspora Africana no Brasil 2024
,,,https://amlatina.contemporaryand.com/es/opportunities/bf24-bienal-de-fotografia-de-vila-franca-de-xira/,,,,No,,,,BF24 – Bienal de Fotografia de Vila Franca de Xira
,,,https://amlatina.contemporaryand.com/es/opportunities/patio-aberto-2024/,,,,No,,,,Pátio Aberto 2024
,,,https://amlatina.contemporaryand.com/es/opportunities/laboratorio-de-pesquisa-mam-sao-paulo/,,,,No,,,,Laboratório de pesquisa MAM São Paulo
ARVDC 2024,,,https://amlatina.contemporaryand.com/es/opportunities/residencia-de-artistas-virtuales-digitales-del-caribe-2024/,,,,No,,,,La Residencia de Artistas Virtuales Digitales del Caribe 2024
,,,https://amlatina.contemporaryand.com/es/opportunities/edital-de-cultura-sesc-rj-pulsar-2025/,,,,No,,,,Edital de Cultura Sesc RJ Pulsar 2025
ArtRio 2024,,,https://amlatina.contemporaryand.com/es/opportunities/artrio-2024/,,,,No,,,,ArtRio 2024
Fundación Williams y Gob. Francés: proyectos,Becas de Intercambio,,orillasnuevas.org,,,"July 31, 2024",No,,,,Fundación Williams y Gob. Francés: proyectos en la Argentina.
The Bennett Prize,,,https://artist.callforentry.org/festivals_unique_info.php?ID=7622,,,,No,,,,CALL FOR ENTRIES The Bennett Prize
"La Nave, Escobar (Proyecto PAC)",,,https://www.bandadas.com/_next/static/css/5640123233af3713.css,,,,No,,,,"Residencia artística en La Nave, Escobar La Nave (Proyecto PAC)"
"La Nave, Escobar",,,https://www.bandadas.com/convocation/4d0b8322-40fa-406e-829c-6460035b0ebd/apply,,,,No,,,,"Residencia artística en La Nave, Escobar"
The Bennett Prize,,,https://thebennettprize.org/call-for-entries,,,"October 5, 2024",No,,,,CALL FOR ENTRIES
XXII EXPO MUNDOA,Premio Exposición Colectiva,,https://www.mundoarti.com/concursos/CEF6295/xxii-exposicin-internacional-museo-virtual-mundoarti-verano-2024/,,,"July 1, 2024",No,,,,XXII EXPOSICIÓN INTERNACIONAL MUSEO VIRTUAL MUNDOA...
II PREMIO DE ESCULTURA FUNDACIÓN BOSCH AYMERICH 20...,"Escultura, Premio de Escultura",,https://fundacioboschaymerich.org/es/premio-de-escultura/,,,"July 23, 2024",Yes,,,,II PREMIO DE ESCULTURA FUNDACIÓN BOSCH AYMERICH 20...
III Premio Int. de Grabado de Castilla-La Mancha,,,https://fundacionantonioperez.com/eventos/iii-premio-internacional-de-grabado-de-castilla-la-mancha/,,,"October 7, 2024",No,,,,III Premio Internacional de Grabado de Castilla- L...
IHRAM Calls & Submissions,Convocatorias,,https://humanrightsartmovement.org/ihraf-publishes,,,"July 1, 2024",No,,,,IHRAM Publishes / Calls & Submissions
Arts Grants,,,https://www.robertlehmanfoundation.org/guidelines.php,,,"September 1, 2024",No,,,,Visual Arts Grants
RE:POP 2024,Arte Contemporáneo,,https://www.sidestreetstudioarts.org/es/callsforart,,,"July 15, 2024",Yes,,,,RE:POP 2024
2025 Exhibit,Artes Visuales,,https://www.embracingourdifferences.org/submit-art-2025-exhibit/,,,"July 2, 2024",Yes,,,,2025 EXHIBIT
Venice AR,,,https://scuolagrafica.it/en/arts/venice-artist-residency/,,,"December 31, 2024",No,,,,Venice Artist Residency
Invisibilidad: Periferia,Artes Visuales,,https://womanmadegallery.submittable.com/submit/289398/invisibility-existing-on-the-periphery,,,"July 2, 2024",Yes,,,,Invisibility: Existing on the Periphery
Barcelona Open Art,Arte Contemporáneo,,https://www.theholyart.com/barcelona-open-art,,,"July 18, 2024",Yes,,,,Barcelona Open Art
Belgrade Art Studio,,,https://belgradeartstudio.com/residency-faq/,,,"January 1, 2025",No,,,,RESIDENCY
Luz Sensible,,,https://artintersection.com/event/call-for-work-light-sensitive-2024/,,,"August 30, 2024",No,,,,CALL FOR WORK – LIGHT SENSITIVE
Fiberart Int'l 2025,,,https://contemporarycraft.org/opportunities/artist-opportunities/,,,"July 1, 2024",No,,,,Fiberart International 2025 Open Call
Future Stars: 5th Ed.,,,https://www.theholyart.com/futurestars,,,"August 8, 2024",No,,,,Future Stars: 5th Edition
SUGi x NAVA Fotografía 2024,Fotografía,,https://site.picter.com/sugi-nava-photo-contest-2024,,,"July 1, 2024",Yes,,,,SUGi x NAVA Photography Contest 2024
UCROSS,Residencia para artistas,,https://www.ucrossfoundation.org/,,,"July 16, 2024",Yes,,,,UCROSS RESIDENCY PROGRAM
2025 Res.,,,https://willapabayair.org/,,,"September 1, 2024",No,,,,2025 RESIDENCIES
FotoCreativaBA | Artística 2024,,,https://www.fotocreativaba.com/residencia-buenosaires,,,"January 1, 2025",No,,,,FotoCreativaBA | Residencia Artística 2024
Organic Painting,,,https://www.arquetopia.org/organic-painting-residency,,,"January 1, 2025",No,,,,Organic Painting Instructional Residency Program
2a Feria Int. Arte Capital,,,https://www.artecapital.com.mx/,,,"October 15, 2024",No,,,,Convocatoria 2a Feria Internacional Arte Capital
"AIR Fukuoka, Japón",,,https://studiokura.info/en/,,,"December 4, 2024",No,,,,"Artist in Residence Program in Fukuoka, Japan"
A Show of Heads,,,https://www.slowart.com/prospectus/head.htm,,,"August 1, 2024",No,,,,A Show of Heads
Concurso de Fotografía,,,https://thenaturephotocontest.com/,,,"November 16, 2024",No,,,,THE NATURE PHOTOGRAPHY CONTEST
XXIX Bienal Pintura Vila Paterna 2024,,,https://www.paterna.es/es/areas-gestion-municipal/cultura-juventud/certamenes-y-premios/xxix-bienal-pintura-vila-paterna.html,,,"September 14, 2024",No,,,,XXIX BIENNAL DE PINTURA VILA DE PATERNA 2024
OPEN CALL: PLANET EARTH,,,https://www.life-framer.com/competitions/,,,"August 1, 2024",No,,,,OPEN CALL: PLANET EARTH
IV Ed. Premio Int. Fotografía,"Esperanza Pertusa, IV Edición, Premio Internacional de Fotografía",,https://www.fundacionesperanzapertusa.org/bases/,,,"July 1, 2024",Yes,,,,IV Edición Premio Internacional de Fotografía Espe...
Resid. La Puebla de Cazalla 2024,,,http://macmorenogalvan.pueblacazalla.com/becas.php,,,"September 10, 2024",No,,,,Residencias artísticas La Puebla de Cazalla 2024
Convocatoria Proyectos Expositivos Universidad,,,https://www.um.es/web/cultura/premios/otros/convocatoria-proyectos-expositivos,,,"November 1, 2024",No,,,,Convocatoria de Proyectos Expositivos Universidad ...
Int'l Open Art Comp 2024,,,https://www.art-unlimited.co.uk/terms-and-conditions,,,"August 1, 2024",No,,,,International Open Art Competition 2024
Micro Resid.,,,https://www.proyectoace.org/residencias/micro-residencias/,,,"August 1, 2024",No,,,,Micro Residencias
“Nature’s Palette” Juried Exhibition,Artes Visuales,,https://www.cognitoforms.com/cityofsantaclaritaartsandevents/naturespalettejuriedexhibition#new_tab,,,"July 30, 2024",Yes,,,,“Nature’s Palette” Juried Exhibition
The Secret Salon IV,,,https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fthe_secretsalon_%2F%3Fhl%3Den&is_from_rle,,,"September 7, 2024",No,,,,The Secret Salon IV
Joan Miró,,,https://miromallorca.com/es/premios-y-becas-pilar-juncosa-2024/,,,"August 1, 2024",No,,,,Convocatoria a las Becas Joan Miró
Art On Loop Tokyo,,,https://www.theholyart.com/tokyo-art-on-loop,,,"February 4, 2025",No,,,,Art On Loop Tokyo
Foto4Humanidad 2024,,,https://www.photography4humanity.com/2024-global-prize,,,"August 2, 2024",No,,,,Photography 4 Humanity 2024
Palimpsesto: Pintura Mural,,,https://www.proyectoace.org/residencias/pintura-mural/,,,"August 1, 2024",No,,,,Proyecto Palimpsesto: Residencia de Pintura Mural
"Fecha de cierre: October 1, 2024
URL: https://www.sienaart.org/
Publicar: No",,,https://www.sienaart.org/,,,"October 1, 2024",No,,,,RESIDENCY APPLICATION
MacDowell SS 2025,,,https://www.macdowell.org/apply/application-guidelines,,,"September 11, 2024",No,,,,MacDowell Residency Spring/Summer 2025
Int. Residence,Residencia para artistas,,http://westside.pilotenkueche.net/pilots/international-residence-program/,,,"July 1, 2024",Yes,,,,INTERNATIONAL RESIDENCE PROGRAM
Exploración ACE,,,https://www.proyectoace.org/residencias/residencias-de-exploracion/,,,"August 1, 2024",No,,,,Residencias de Exploración
Anthology Photo Comp 2024,,,https://anthology-magazine.com/awards/photo-competition/,,,"December 1, 2024",No,,,,Anthology Photography Competition 2024
Nature Exhibit,,,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSf1RyvTtl5ZCugljP6HlqLlJuyUae_e_oSuLDvA5A93-WbGOw%2Fviewform&followup=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSf1RyvTtl5ZCugljP6HlqLlJuyUae_e_oSuLDvA5A93-WbGOw%2Fviewform&ifkv=AS5LTATwSr7r_vBGo_DUgEYETULP-NsfcV_WF8tlb4hSv6gq5L_bxnvpOIMfv1FNmyRIH6fstQkc&ltmpl=forms&osid=1&passive=1209600&service=wise&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S353034483%3A1719452704248868&ddm=0,,,"August 1, 2024",No,,,,Nature Exhibit
"Convocatoria ""Confabulaciones""","ACTIVACIONES EN DI, Confabulaciones, Convocatoria",,https://museodelacarcova.una.edu.ar/noticias/convocatoria-confabulaciones_41558,,,"July 13, 2024",Yes,,,,"Convocatoria ""Confabulaciones"": ACTIVACIONES EN DI..."
The Lab 2024,,,https://www.thelabprogram.com/inresidency,,,"January 1, 2025",No,,,,The Lab Program 2024
Critic's Spotlight: Art,,,https://boomergallery.net/critics-spotlight,,,"January 1, 2025",No,,,,Critic’s Spotlight: Artists Opportunity
The Portrait,Artes Visuales,,https://chateaugallery.com/the-portrait-submission-form,,,"July 16, 2024",Yes,,,,Call For Entry: The Portrait
Certamen Punto Final,,,https://certamenpuntofinal.quinto.es/bases/,,,"September 2, 2024",No,,,,IV Certamen Punto Final
OPEN CALL 2024,,,https://www.gottliebfoundation.org/emergency-grant,,,"December 31, 2024",No,,,,OPEN CALL 2024
XXXIX Concurso de Pintura Vila de Puçol,,,https://casacultura.net/convocats-els-premis-vila-de-pucol/,,,"September 13, 2024",No,,,,XXXIX Concurso de Pintura Vila de Puçol
Litografía Centro de Edición,,,chrome-error://chromewebdata/,,,"January 1, 2025",No,,,,Residencias Litografía Centro de Edición de Buenos...
Ink Silkscreen,,,https://www.arquetopia.org/natural-ink-silkscreen-residency,,,"January 1, 2025",No,,,,Natural Ink Silkscreen Instructional Residency Pro...
XXXI CONCURSO FOTOGRÁFICO ANDRES MUÑOZ GARDE 2024,,,https://www.caminodesantiagoennavarra.es/vwp/xxxi-concurso-fotografico-andres-munoz-garde-2024/,,,"October 2, 2024",No,,,,XXXI CONCURSO FOTOGRÁFICO ANDRES MUÑOZ GARDE 2024
"ALN Artist Res. Jan 1, 2025",,,https://www.artslettersandnumbers.com/artist-residency,,,"January 1, 2025",No,,,,Artist Residency
Explorando Espacios Domésticos,,,https://santaclaritaarts.com/galleries/callsforentries/,,,"October 29, 2024",No,,,,Exploring Domestic Spaces
FUTURISTIC VISIONS,FUTURISTIC VISIONS Fine Art Competition,,https://koisartistaward.com/futuristic-visions-online-art-competition/,,,"July 1, 2024",Yes,,,,FUTURISTIC VISIONS Fine Art Competition
2a Feria Internacional Arte Capital,,,https://www.artecapital.com.mx/,,,"October 15, 2024",No,,,,2a Feria Internacional Arte Capital
Premios Mallorca Fotografía 2024,,,https://web.conselldemallorca.es/es/destacado,,,"August 8, 2024",No,,,,Premios Mallorca de Fotografía Contemporánea 2024
Concurso Cartel Anunciador SNAC,,,https://www.zarzuelalasolana.es/,,,"July 7, 2024",No,,,,CONCURSO CARTEL ANUNCIADOR DE LA SEMANA NACIONAL D...
I BIENNAL DE GRAVAT MANUEL BOIX,,,https://www.lalcudia.com/web/index.php?option=com_content&view=article&id=1228:i-biennal-de-gravat-manuel-boix&catid=106:noticies&Itemid=1100,,,"October 1, 2024",No,,,,I BIENNAL DE GRAVAT MANUEL BOIX
DC CAH | FY25 PUBL,Arte Contemporáneo,,https://dcarts.dc.gov/page/public-art-building-communities-pabc,,,"July 23, 2024",Yes,,,,DC COMMISSION ON THE ARTS & HUMANITIES | FY25 PUBL...
Premi Pintura Tat Vilà 2024,Artes Visuales,,https://www.escolatrac.com/es/premio-tat-vila/bases-premio-pintura-tat-vila-2019/,,,"July 1, 2024",Yes,,,,Premi Pintura Tat Vilà 2024
18 PREMIO DE ESCULTURA CIUDAD DE BADAJOZ 2024,,,https://www.aytobadajoz.es/files/archivos/ayto/2024_04/18_pcdb_escultura_bases.pdf,,,"August 16, 2024",No,,,,18 PREMIO DE ESCULTURA CIUDAD DE BADAJOZ 2024
LensCulture Art Photo Awards 2024,,,https://www.lensculture.com/photo-competitions/art-photography-awards/2024,,,"December 21, 2024",No,,,,LensCulture Art Photography Awards 2024
Fi2025,Artistas,,https://contemporarycraft.org/opportunities/artist-opportunities/,,,"July 1, 2024",Yes,,,,Fiberart International 2025 (Fi2025)
II Salón Virtual de Fotografía con Imagen y/o Intervención Textil,Fotografía,,https://caat.org.ar/convocatorias/ii-salon-virtual-de-fotografia-con-imagen-y-o-intervencion-textil/,,,"July 13, 2024",Yes,,,,II Salón Virtual de Fotografía con Imagen y/o Inte...
Artadia Awards 2024,Artadia Awards 2024,,https://artadia.org/awards/#guidelines,,,"July 16, 2024",Yes,,,,Artadia Awards 2024
,Fotografía,,https://www.sec4p.com/abandoned24-prospectus,,,"July 1, 2024",Yes,,,,Abandoned
Anthology Art Comp 2024,,,https://anthology-magazine.com/awards/cover-art-competition/,,,"November 1, 2024",No,,,,Anthology Art Competition 2024
Sea Change,Arte Contemporáneo,,https://www.midwestnice.art/opencalls/sea-change,,,"July 21, 2024",Yes,,,,Open Call: Sea Change
27º Premio Diario de Burgos de Pintura Rápida,Artes Visuales,,https://premiopinturarapida.diariodeburgos.es/,,,"July 1, 2024",Yes,,,,27º Premio Diario de Burgos de Pintura Rápida
Self-Directed,Residencia para artistas,,https://centrum.org/program/artist-residencies/#self-directed,,,"July 1, 2024",Yes,,,,Self-Directed Residencies
Artes Visuales 2025 / AF Lima,Artes Visuales,,https://www.aflima.org.pe/wp-content/uploads/2024/04/Convocatoria-artes-visuales-2025-1.pdf,,,"July 1, 2024",Yes,,,,ARTES VISUALES 2025 / ALIANZA FRANCESA DE LIMA
2025 AR Program,,,https://maisondoramaar.org/how-to-apply/,,,"October 16, 2024",No,,,,2025 Artists Residency Program
http://edenhopear.com.au/,Residencia para artistas,,https://edenhopeartistresidency.com.au/,,,"July 29, 2024",Yes,,,,Applications Open Now
Concurso Cartel Fira Tots Sants 2024,Concurso del cartel anunciador de la 678 edición d...,,https://www.firadecocentaina.org/es/bases-reguladoras-del-concurso-del-cartel-anunciador-de-la-678-edicion-de-la-fira-de-tots-sants-2024,,,"July 1, 2024",Yes,,,,Concurso del cartel anunciador de la 678 edición d...
IAREX l'ATELIER,,,https://www.internationalartistsresidencyexchange.com/program-information.php,,,"January 1, 2025",No,,,,IAREX l'ATELIER OPEN CALL
Miniprint Internacional Galicia 2024,,,https://miniprint-galicia.gal/es/inicio-3/,,,"August 17, 2024",No,,,,II Miniprint Internacional Galicia 2024
,"Arte Contemporáneo, Feria de Arte, Zúrich",,https://art-zurich.com/en/,,,"July 1, 2024",Yes,,,,THE CONTEMPORARY ART FAIR IN ZURICH
HIPA 2024,Fotografía,,https://hipa.ae/award/sustainability-hipa-award-2024,,,"July 1, 2024",Yes,,,,HIPA 2024 – International Photography Award
Fundación Ama Amoedo,,,https://fundacionamaamoedo.org/index.php/es/grants_apply,,,"July 31, 2024",No,,,,Open Call 2024: Becas Fundación Ama Amoedo
Convocatoria Fragmentos 2024,,,https://www.fragmentos.gov.co/convocatoria/Paginas/Convocatoria-2024.aspx,,,"October 2, 2024",No,,,,Convocatoria Fragmentos. Proyecto artístico 2024
Ucross Foun...,Residencia para artistas,,https://ucrossfoundation.submittable.com/submit,,,"July 16, 2024",Yes,,,,Ucross Foundation’ Residencies
"2024 Int. Ilustración ""Art o...""",,,https://www.artonclimate.com/en,,,"August 1, 2024",No,,,,"2024 International Illustration Competition ""Art o..."
"Planes, Trains and Automobiles Exhibit",,,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSf1s1l2G5b9-CgaSNqAtwy5tHcZAQUUT12DpPzHP9lqomyP1g%2Fviewform&followup=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSf1s1l2G5b9-CgaSNqAtwy5tHcZAQUUT12DpPzHP9lqomyP1g%2Fviewform&ifkv=AS5LTAS-CFgfx_bjb_jqIm3x-yK2ab2DPE1JNWqIrO6AIf32M4vEooVa88QEYXkOkvUDPPsFa_CUvQ&ltmpl=forms&osid=1&passive=1209600&service=wise&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S1963634322%3A1719452889787278&ddm=0,,,"August 16, 2024",No,,,,"Planes, Trains and Automobiles Exhibit"
Preus Museum Open Call 2024 -> Preus Mus. Open Call 24,Arte Contemporáneo,,https://site.picter.com/preus-museum-open-call-24,,,"July 1, 2024",Yes,,,,Preus Museum Open Call 2024
Monochromatic Awards 2024,Fotografía,,https://www.dodho.com/monochromatic-awards/,,,"July 1, 2024",Yes,,,,Monochromatic Awards 2024
ARTCABBAGE PRIZE,,,https://artcabbage.com/artcabbage-prize-international-art-contest/,,,"August 2, 2024",No,,,,ARTCABBAGE PRIZE
Premio Arte Digital Jaume Graells,,,https://www.ceina.com/es/sobre-ceina-/premio-de-art-digital-jaume-graells/bases-2022-esp.html,,,"September 23, 2024",No,,,,XXVIII Premio de Arte Digital Jaume Graells
Sony World Photo Awards,,,https://www.worldphoto.org/sony-world-photography-awards,,,"January 11, 2025",No,,,,The Sony World Photography Awards
2025 Fall AiR Open Call,,,https://www.bemiscenter.org/residency/artists-in-residence,,,"October 2, 2024",No,,,,2025 Fall Artist-in-Residence Open Call September ...
"XI Certamen Nacional de Escultura de ""San Bartolomé""","Certamen Nacional, Escultura, San Bartolomé",,https://www.mundoarti.com/concursos/CJK5986/xi-certamen-nacional-de-escultura-de-san-bartolome-de-la-torre/,,,"July 15, 2024",Yes,,,,XI CERTAMEN NACIONAL DE ESCULTURA DE “SAN BARTOLOM...
FMA Vicente López,Convocatoria,,https://www.vicentelopez.gov.ar/FMA,,,"July 29, 2024",Yes,,,,FONDO MUNICIPAL DE LAS ARTES DE VICENTE LÓPEZ
Visit 2024,,,https://www.accioncultural.es/es/visitantes-2024,,,"September 1, 2024",No,,,,Visitantes 2024
Temp Pub Art,,,https://www.nanaimo.ca/parks-recreation-culture/public-art/temporary-public-art-program,,,"August 12, 2024",No,,,,Temporary Public Art Program
AMS WB Photo Contest 2024,,,https://amsweatherband.org/index.cfm/weatherband/weather-band-photo-contest/,,,"August 31, 2024",No,,,,AMS Weather Band Photo Contest 2024
Expresión en Plein Air 2024,,,https://elkgrovefineartscenter.org/exhibitions/expressions-in-plein-air-september-2024/,,,"August 18, 2024",No,,,,Expression in Plein Air 2024
XXI Certamen Internacional de Fotografía sobre Patrimonio Industrial Incuna 2024,,,https://incuna.es/convocado-el-xxi-certamen-internacional-de-fotografia-sobre-patrimonio-industrial-incuna-2024/,,,"August 31, 2024",No,,,,XXI CERTAMEN INTERNACIONAL DE FOTOGRAFÍA SOBRE PAT...
13ª Bienal Mediacity Seúl,,,https://mediacityseoul.kr/2024_en/opencall,,,"July 29, 2024",No,,,,LA 13ª BIENAL MEDIACITY DE SEÚL ABRE CONVOCATORIA ...
